CRASH_ID,DRVR_LIC_TYPE_ID,CHARGE
14925033,DRIVER LICENSE,HIT AND RUN
14944845,DRIVER LICENSE,HIT AND RUN MORE THAN $200
14952870,ID CARD,HIT AND RUN (ACCIDENT INVOLVING INJURY)
14979389,DRIVER LICENSE,HIT AND RUN
14873477,DRIVER LICENSE,HIT AND RUN $200
14952870,DRIVER LICENSE,HIT AND RUN (ACCIDENT INVOLVING INJURY)
14960702,ID CARD,HIT AND RUN
14905247,DRIVER LICENSE,DWI; HIT AND RUN
14947443,DRIVER LICENSE,ACCIDENT HIT AND RUN
14984582,DRIVER LICENSE,HIT AND RUN
14956901,DRIVER LICENSE,HIT AND RUN
14928814,DRIVER LICENSE,ACCIDENT HIT AND RUN
14960702,DRIVER LICENSE,HIT AND RUN
15180217,ID CARD,ACCIDENT INVOLVING DAMAGE TO VEHICLE (HIT AND RUN)
15001244,DRIVER LICENSE,HIT AND RUN
15138421,DRIVER LICENSE,HIT AND RUN
15180217,DRIVER LICENSE,ACCIDENT INVOLVING DAMAGE TO VEHICLE (HIT AND RUN)
15048866,DRIVER LICENSE,HIT AND RUN
15115797,DRIVER LICENSE,HIT AND RUN
15120428,DRIVER LICENSE,ACCIDENT INVOLVING DAMAGE TO VEHICLE (HIT AND RUN)
15001244,ID CARD,HIT AND RUN
15052775,DRIVER LICENSE,HIT AND RUN
15118327,DRIVER LICENSE,HIT AND RUN
15001243,ID CARD,HIT AND RUN
15115797,ID CARD,HIT AND RUN
15001243,DRIVER LICENSE,HIT AND RUN
15032309,DRIVER LICENSE,HIT AND RUN
15084009,DRIVER LICENSE,HIT AND RUN (DUTY UPON STRIKING UNATTENDED VEHICLE)
15032309,ID CARD,HIT AND RUN
15087495,DRIVER LICENSE,HIT AND RUN
15108479,DRIVER LICENSE,ACCIDENT INVOLVING DAMAGE <$200 (HIT AND RUN)
15050731,DRIVER LICENSE,HIT AND RUN
15035067,DRIVER LICENSE,HIT AND RUN UNDER $200
15006502,ID CARD,HIT AND RUN
15005629,DRIVER LICENSE,HIT AND RUN
15202766,DRIVER LICENSE,HIT AND RUN OCCUPIED VEHICLE
15180741,DRIVER LICENSE,HIT AND RUN
15202536,DRIVER LICENSE,ACCIDENT HIT AND RUN
15261836,DRIVER LICENSE,MINOR HIT AND RUN
15158375,DRIVER LICENSE,DWI / HIT AND RUN
15153768,COMMERCIAL DRIVER LIC.,HIT AND RUN
15150756,DRIVER LICENSE,HIT AND RUN
15235322,DRIVER LICENSE,HIT AND RUN  VEH DAMAGE
15153768,DRIVER LICENSE,HIT AND RUN
15153180,DRIVER LICENSE,HIT AND RUN
15269494,DRIVER LICENSE,HIT AND RUN OVER $200
15365103,ID CARD,HIT AND RUN
15477082,DRIVER LICENSE,HIT AND RUN
15365103,DRIVER LICENSE,HIT AND RUN
